Clone,Ano,Bloco,N_Roots,FRY,ShY,DMC,StY,Plant.Height,HI,StC,Root.Le,Root.Di,Stem.D,Nstem.Plant
BRS Jari,2020,2,6.333,6.467,14.667,15.132,0.67787094,1.01666666666667,30.5999810731523,10.482,28.6666666666667,24.3933333333333,1.71866666666667,2
BRS Jari,2020,3,5,7.333,22.667,19.9294117647059,1.12043926470588,0.976666666666667,24.4433333333333,15.2794117647059,24.6666666666667,25.83,2.028,1.66666666666667
BRS Jari,2020,4,5,12.633,29,16.464,1.49246262,1.05,30.3437177239209,11.814,26,31.55,1.921,2
BRS Kiriris,2018,1,1.067,1.5,8.8,35,0.45525,1.23,14.5631067961165,30.35,16.3333333333333,26.1366666666667,1.90333333333333,1.66666666666667
BRS Kiriris,2018,2,2.25,1.75,7.875,32,0.478625,1.10333333333333,18.1818181818182,27.35,NA,NA,1.78333333333333,1
BRS Kiriris,2018,3,1.833,11,10,39,3.7785,1.28333333333333,52.3809523809524,34.35,33.3333333333333,29.03,1.98966666666667,2
BRS Kiriris,2018,4,2.333,1.417,8.167,31.7307692307692,0.3837345,0.843333333333333,14.7850584307179,27.0807692307692,18,31.6233333333333,1.79566666666667,1
BRS Kiriris,2019,1,6.333,10.333,15.583,28.1818181818182,2.43154277272727,1.38666666666667,39.8711220867418,23.5318181818182,30,17.3033333333333,1.93633333333333,2.33333333333333
BRS Kiriris,2019,2,7,3.429,7.357,31.6831683168317,0.926967341584158,1.35,31.7912108288522,27.0331683168317,25,34.5933333333333,2.08,2.33333333333333
BRS Kiriris,2019,3,6,7.1,14.4,28.8461538461538,1.71792692307692,1.58,33.0232558139535,24.1961538461538,25,36.1966666666667,1.74833333333333,2.66666666666667
BRS Kiriris,2019,4,8.333,4.857,8,29.4117647058824,1.20267891176471,1.31666666666667,37.7770864120712,24.7617647058823,25.3333333333333,37.7833333333333,1.77766666666667,3
BRS Kiriris,2020,1,5,14.967,39.833,32.094,4.10754348,1.61333333333333,27.3120437956204,27.444,28.3333333333333,36.2,2.70733333333333,2
BRS Kiriris,2020,2,7.667,11.267,28.333,32.742,3.16512564,1.24,28.4520202020202,28.092,25.3333333333333,28.3233333333333,1.968,1.66666666666667
BRS Kiriris,2020,3,8.333,17.3,32.167,37.278,5.644644,1.59,34.9728101562658,32.628,32.3333333333333,38.34,2.46966666666667,1.33333333333333
BRS Kiriris,2020,4,4.333,11.633,35.667,31.044,3.07041402,1.12666666666667,24.5940803382664,26.394,27.6666666666667,30.09,2.00966666666667,2
BRS Mulatinha,2018,1,0.467,2.8,8.8,37,0.9058,1.07333333333333,24.1379310344828,32.35,18.4,63.3033333333333,2.01666666666667,2
BRS Mulatinha,2018,2,1.333,6.714,15.286,41.5841584158416,2.4797593960396,1.22666666666667,30.5181818181818,36.9341584158416,25,44.7133333333333,2.27666666666667,2
BRS Mulatinha,2018,3,0.667,1.333,8,33.8235294117647,0.388883147058824,0.606666666666667,14.2826529518911,29.1735294117647,18,39.985,1.17566666666667,1.33333333333333
BRS Mulatinha,2018,4,1.067,13.8,18.2,42.7184466019417,5.25344563106796,1.64666666666667,43.125,38.0684466019417,46,44.48,2.44366666666667,1.66666666666667
BRS Mulatinha,2019,1,7.333,9.929,21.286,29.2452830188679,2.4420656509434,1.58333333333333,31.8084254364889,24.5952830188679,33,45.7233333333333,2.39666666666667,3
BRS Mulatinha,2019,2,4,5.143,14,31.6831683168317,1.39031584653465,1.42333333333333,26.8662174162879,27.0331683168317,24.3333333333333,38.1366666666667,1.85733333333333,3.66666666666667
BRS Mulatinha,2019,3,4.667,3.929,14.286,29.7029702970297,0.984331202970297,1.32333333333333,21.5701345045292,25.0529702970297,24,36.9133333333333,2.30533333333333,3.33333333333333
BRS Mulatinha,2019,4,6,9.714,17,31.3725490196078,2.59582841176471,1.46333333333333,36.3629557535375,26.7225490196078,39.3333333333333,46.7,2.09666666666667,4
BRS Mulatinha,2020,1,6.333,7.567,26.667,33.594,2.19019248,1.43666666666667,22.1037564993866,28.944,22.3333333333333,27,2.40133333333333,3.33333333333333
BRS Mulatinha,2020,2,4.333,4.967,22.667,27.6411764705882,1.14197173529412,1.19666666666667,17.9742346384888,22.9911764705882,21.3333333333333,23.1633333333333,2.06766666666667,3
BRS Mulatinha,2020,3,4.333,5.6,25.667,24.57,1.11552,1.27666666666667,17.9102568202898,19.92,28,24.9366666666667,2.18433333333333,2.33333333333333
BRS Mulatinha,2020,4,4,10.5,29.333,31.92,2.86335,1.6,26.3600532222027,27.27,21.6666666666667,30.52,2.34766666666667,2.66666666666667
BRS Novo Horizonte,2018,1,2.278,4.917,6.833,37.2549019607843,1.60318302941176,1.27666666666667,41.8468085106383,32.6049019607843,25,36.02,1.72333333333333,2.33333333333333
BRS Novo Horizonte,2018,2,2.778,14.833,22,33,4.2051555,1.57333333333333,40.2709526783048,28.35,27.3333333333333,46.94,2.27,2.33333333333333
BRS Novo Horizonte,2018,3,2.722,0.583,4.667,37.2093023255814,0.18982073255814,1.07666666666667,11.1047619047619,32.5593023255814,18.6666666666667,17.0566666666667,2.20366666666667,1.33333333333333
