Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
25/09/2016;13;11,3;0;35,2;29,1;22,5;56,5;47;2,2
26/09/2016;14,1;10,6;0;34,6;29,7;23,5;54,3;48;2,6
27/09/2016;13;8,6;0;34,8;28,9;24,3;57,5;45;3,9
28/09/2016;13,6;6,9;0;34,6;28,3;23,7;60;47;3,6
29/09/2016;13,7;5,9;0;32,4;27,8;23,9;63,8;55;3,3
30/09/2016;11,8;11,1;0;35,4;29,7;23,4;50,8;44;2,6
01/10/2016;14,8;10;0;35,2;29,8;24,5;53;43;3,4
02/10/2016;16,6;10,1;0;34,8;28,4;22,4;52,5;43;3,4
03/10/2016;17,2;9,4;0;34,6;28,7;22,3;50,5;39;3,3
04/10/2016;16,8;8,8;0;34,4;28,5;23;58,3;47;2,2
05/10/2016;12,5;11,3;0;36;29,8;23,5;58;45;1,1
06/10/2016;13,8;8,9;0;36,6;30,5;26,8;59,3;46;2,5
07/10/2016;12,3;3,6;,2;31,4;27,4;25,1;76,3;63;2,8
08/10/2016;6,8;5,8;0;36,2;28,2;24,5;69,8;51;2,2
09/10/2016;9,4;11;0;36,2;29,9;23,7;52,5;41;2,2
10/10/2016;15,6;10,1;0;34,8;28,9;23,1;49,5;41;3,9
11/10/2016;18,6;11;0;33,8;28;22;53,8;45;3,3
12/10/2016;17,1;6;0;33;27,5;22,1;58,5;46;3,7
13/10/2016;12,9;10,5;0;34,8;28,9;22,1;52,3;42;3,9
14/10/2016;16,3;10,4;0;34,4;29,2;24,2;50,5;38;3,3
15/10/2016;17;9;0;33,8;28;22,1;53,5;40;2,7
16/10/2016;15,5;11,5;0;35;29,1;22,7;50;36;3,7
