Clone,NR.P,PTR,PPA,MS,PROD.AMD,AP,HI,AMD,Porte,RF,CR,DR,DCaule,Ácaro,Nº Hastes,Stand_Final,Branching_Level,Staygreen
BGM-0630,-0.700592965256361,-1.16104485727706,13.6740731197426,-2.10995444280349,-0.360411488372568,0.260816605020837,-5.91355786645998,-2.10681998890511,1.29089376431329,0.046078441488155,0.328099966975424,-0.80292968181417,0.392874966109351,-0.233150314808819,-0.25067230943904,0.0736764941457048,-0.116691830800853,0.0248934390935415
BGM-0638,0.583007683101307,0.615316083470305,11.5743030120819,7.20095677812442,0.510731623950618,0.288999924366256,-1.75391268309148,7.20360935382633,-0.339430859867506,0.255205460305347,2.21895664748414,1.48597748567717,0.0793048105073027,-0.10889063813565,0.153516037793605,0.563431280840358,0.280965502185332,0.0248934390935415
BGM-0642,0.177500121155665,1.89249039213919,8.00433683244063,-0.971924135438093,0.293859098922622,-0.0228546309993568,1.8305489849691,-0.968848579318795,-0.0133659350313475,-0.0584850679204412,3.4615196089613,0.405299689573775,0.111219780081034,0.0153690385375184,0.442222000102637,0.400179685275474,-0.315520497293945,0.00632545112412612
BGM-0645,-0.565626430395893,-2.26752464889783,-12.0154035089557,-8.65768222454695,-0.730472966248946,-0.182151653386507,2.91161383481653,-8.65420889863278,0.312698989804811,-0.163048577329037,1.2465160689368,-2.43594090483778,0.0376814410982054,0.388148068557025,-0.366154694362653,-0.742581483678717,0.280965502185332,-0.0122425368452893
BGM-0646,-0.530597431018508,-1.42402661127087,2.96358760128901,-1.36466978349907,-0.669143104965565,0.0138648667308409,-9.93078309488658,-1.4196939329835,1.27443993075666,0.334133551950673,0.638508861643428,-1.66188745533731,0.172462149573326,0.288696126816107,-0.0537828186923279,-0.182096447721527,0.378317440466085,0.0242331057349505
BGM-0648,2.02777967358836,5.82138165991204,3.19515669073257,1.88048315909752,1.43120132430033,0.0303138302333556,14.9084121648749,1.89590033974795,0.408405429309157,0.191338991664549,1.78400590592655,9.20516912382663,0.190377771214094,-0.149162157783468,-0.477144470919511,-0.292837599696102,1.27519968487676,0.0215689531589596
BGM-0649,-1.97970651260986,-1.52146468534778,-2.42699634870795,NA,NA,-0.107497847751055,-10.558683218539,NA,NA,-0.249362205298048,-2.02166108289317,-5.38638225842618,-0.0194265478883853,0.0520635773897306,NA,NA,NA,NA
BGM-0652,-1.17378644708698,-2.96907911396558,-7.32551793895994,-2.96148537651186,-0.697151104626705,-0.210334972731926,-5.40428169104587,-2.95830685236291,-0.339430859867506,-0.0584850679204411,-3.39958891745604,-2.80806384924588,-0.323370601054971,0.263888391883856,0.615445577488056,0.23692808971059,-0.315520497293945,0.00632545112412614
BGM-0657,-1.77454085189704,-1.01602900833277,0.235313689093454,5.84122450910002,-0.0729915822558607,0.193090429580099,-2.34327876529699,5.8662882863188,1.0141696603974,0.562712411119723,-1.49659201546101,-2.11444799210113,-0.0430041846765978,-0.114410885640002,-0.788047620057099,-0.231235724279157,1.63622703879825,0.0168454702859073
BGM-0658,-1.43837742228476,-0.785042106676107,3.57466625840895,0.748303238037131,-0.11020192777551,0.21042072649817,-8.28723433916238,0.742891964591083,-0.355884693424139,0.11664976040066,2.36532624804857,-3.34650855996822,0.270530668890643,-0.0524696825272445,-0.0625255660942488,0.123337957153625,0.179488773972992,-0.0129028702038802
BGM-0659,2.27850824301192,0.562136632064284,2.24457465419976,-1.48181882785029,0.0144226127058001,0.103639024701161,1.70897681903194,-1.45637605282645,-0.290090038947232,-0.064668645331853,-0.14598010081193,-1.4462649692803,-0.115817183441842,0.00984879103316656,0.424517421640835,0.585022253545266,-0.377524803799839,-0.00172251768350808
BGM-0665,-0.21188397644491,0.753432575816607,1.58811862823014,2.60848371051751,0.320963497825286,0.0942934137765342,0.605228128703339,2.61137396571036,-0.339430859867506,0.120052549030739,0.28357685412732,2.68716628176719,-0.0979651957483175,-0.17637117380518,0.326739615179024,0.0736764941457048,-0.315520497293945,0.0434614270629569
