trait,Clone,BLUP,BLUPS_mean,drgBLUP_mean
HI,HI.BGM-0428,-3.66640001295788,20.8895309098745,10.6250757041349
HI,HI.BGM-0434,3.64554031709134,28.2014712399238,34.1288264508316
HI,HI.BGM-0441,-4.11569516778095,20.4402357550515,16.7261980825435
HI,HI.BGM-0442,1.17240865463599,25.7283395774684,26.6822372613596
HI,HI.BGM-0443,-5.04087671007023,19.5150542127622,11.3176055877256
HI,HI.BGM-0447,0.528237723593227,25.0841686464256,25.9446192899148
HI,HI.BGM-0448,1.69815482776146,26.2540857505939,29.0226304505099
HI,HI.BGM-0449,3.30937358720921,27.8653045100416,33.2466909827048
HI,HI.BGM-0451,6.74316925843547,31.2991001812679,42.2926027115328
HI,HI.BGM-0462,-4.40127079800824,20.1546601248242,12.9954744310713
HI,HI.BGM-0463,1.8053015661071,26.3612324889395,29.2968401419989
HI,HI.BGM-0464,-5.06075953584645,19.495171386986,9.23698631283064
HI,HI.BGM-0468,-4.25063267439044,20.305298248442,13.3425086189267
HI,HI.BGM-0470,-4.42689938825444,20.129031534578,12.9330947100862
HI,HI.BGM-0471,1.68451412503607,26.2404450478685,28.9834886598649
HI,HI.BGM-0474,-2.71111414170288,21.8448167811295,17.4198515822832
