"Trait","SI","X0","X0_GEBV","X0_GETGV","X0_BLUPS","XS_BLUPS","XS_GEBV","XS_GETGV","XS_GEBV_BLUP","XS_GETGV_BLUP","XS_GETGV_GEBV","kappa_GEBV_BLUP","kappa_GETGV_BLUP","kappa_GETGV_GEBV","kappa_sel_GEBV_BLUP_BLUP","kappa_sel_GETGV_BLUP_BLUP","kappa_sel_GETGV_GEBV_BLUP","kappa_sel_GEBV_BLUP_GEBV","kappa_sel_GETGV_BLUP_GEBV","kappa_sel_GETGV_GEBV_GEBV","kappa_sel_GEBV_BLUP_GETGV","kappa_sel_GETGV_BLUP_GETGV","kappa_sel_GETGV_GEBV_GETGV"
"StY",20,1.51637718107623,1.50916866832208,1.50864692556214,1.50086435236779,1.9764254906436,1.66801141606266,1.67343948512286,1.62662655720211,1.62663920184492,1.66290174681829,0.192831342039455,0.173613040659442,0.865471890339909,0.61563397239974,0.634852273779754,0.15439473927943,0.577197369639715,0.557979068259701,0.942345095859961,0.557979068259701,0.538760766879689,0.923126794479948
"StY",25,1.51637718107623,1.50916866832208,1.50864692556214,1.50086435236779,1.91117708978114,1.65234417255835,1.65203735267691,1.61489007970302,1.61147737932939,1.64522302884301,0.282448320909859,0.23461154230385,0.904326442787981,0.712979328363944,0.744870514101283,0.26650272804119,0.569468992545915,0.537577806808576,0.96810881426266,0.521632213939906,0.489741028202567,0.920272035656651
"StY",30,1.51637718107623,1.50916866832208,1.50864692556214,1.50086435236779,1.86988091223716,1.64302638559897,1.64565342049083,1.60872932364344,1.60862945285947,1.63175511413219,0.273791896621349,0.273791896621349,0.902241216852874,0.692758110109032,0.706723650558622,0.301722977520527,0.581033786512316,0.567068246062727,0.958103378651232,0.581033786512316,0.567068246062727,0.944137838201642
"Plant.Height",10,1.19188824662813,1.19209404252004,1.19205747778871,1.19100928893854,1.36480131225225,1.24492131146671,1.24089884466531,1.23473556050016,1.2330459622112,1.24498119064471,0.161014738489631,0.161014738489631,0.918807877918351,0.539911308203991,0.594039389591757,0.161014738489631,0.62110343028564,0.539911308203991,0.972935959306117,0.566975348897874,0.566975348897874,0.945871918612234
"Plant.Height",15,1.19188824662813,1.19209404252004,1.19205747778871,1.19100928893854,1.36294412977895,1.23574083184303,1.23355572543262,1.23099566128519,1.22895640528525,1.23761024182669,0.212049643419469,0.173613040659442,0.865471890339909,0.519542465499676,0.596415671019727,0.212049643419469,0.692507177919793,0.557979068259701,0.961563397239974,0.61563397239974,0.577197369639715,0.903908493099935
"Plant.Height",20,1.19188824662813,1.19209404252004,1.19205747778871,1.19100928893854,1.35106544529401,1.23218613672177,1.23040154023676,1.22771714042139,1.22623887853773,1.23256751348605,0.255291877243097,0.240093752288875,0.87841500036622,0.57445250128177,0.635245001098659,0.255291877243097,0.680839375961327,0.620046876144437,0.924009375228887,0.650443126052882,0.604848751190214,0.954405625137332
"Plant.Height",25,1.19188824662813,1.19209404252004,1.19205747778871,1.19100928893854,1.33280566021002,1.22828285231984,1.22766059155671,1.22448558163321,1.22416664480006,1.22839804343204,0.276823500124471,0.250995767986059,0.896689071446353,0.573842419716206,0.586756285785412,0.250995767986059,0.702981080408265,0.690067214339059,0.961258401792382,0.664239482200647,0.664239482200647,0.93543066965397
"Plant.Height",30,1.19188824662813,1.19209404252004,1.19205747778871,1.19100928893854,1.31802009174544,1.22537026623443,1.2272639678681,1.22040032012913,1.22092865103182,1.22484502220748,0.306715669896425,0.272051453391246,0.872897872814345,0.630248357278093,0.618693618443034,0.272051453391246,0.676467312618332,0.664912573783272,0.930671566989642,0.630248357278093,0.653357834948212,0.942226305824702
"HI",10,24.5559309228324,24.545044502214,24.5378548542445,24.4687999982598,31.3042944637319,26.5042747066503,26.5424503118365,26.0570220963396,26.0672994504005,26.3670778004774,-0.0513333333333318,-0.0236666666666663,0.806333333333333,0.446666666666667,0.446666666666667,-0.0236666666666663,0.502,0.474333333333334,0.889333333333333,0.474333333333334,0.529666666666667,0.917
"HI",15,24.5559309228324,24.545044502214,24.5378548542445,24.4687999982598,30.7674306672663,26.3516760984221,26.2797419354442,25.8746488706817,25.8554259126507,26.1816307909276,0.0775215337593772,0.0583032323793645,0.865471890339909,0.500324164119662,0.500324164119662,0.0583032323793645,0.577197369639715,0.557979068259701,0.923126794479948,0.538760766879689,0.557979068259701,0.942345095859961
