Clone,Ano,Bloco,row,col,fitted,residuals,trait
BGM-0989,2017,3,6,20,5.52038973549797,0.646610264502027,N_Roots
BGM-0989,2017,4,2,35,5.24487770300889,-0.0778777030088929,N_Roots
BGM-0996,2017,1,14,35,2.04518892689793,-0.0451889268979344,N_Roots
BGM-0996,2017,2,10,17,1.81744518983966,-0.48444518983966,N_Roots
BGM-0996,2017,3,6,44,1.70834090877899,-1.20834090877899,N_Roots
BGM-0996,2017,4,2,43,1.46646885521596,-0.966468855215955,N_Roots
BGM-0998,2017,1,14,34,3.87224202738672,0.957757972613275,N_Roots
BGM-0998,2017,2,11,23,3.89764390695575,-0.297643906955746,N_Roots
BGM-0998,2017,3,7,42,4.00856173609332,-0.338561736093324,N_Roots
BGM-0998,2017,4,3,29,3.52586639641217,-0.692866396412168,N_Roots
BGM-1023,2017,1,14,33,6.39332898005848,-0.393328980058477,N_Roots
BGM-1023,2017,2,11,48,6.54927120765972,-0.349271207659716,N_Roots
BGM-1023,2017,3,7,36,6.57447138041774,1.42552861958226,N_Roots
BGM-1023,2017,4,4,2,6.14105197844135,0.688948021558647,N_Roots
BGM-1024,2017,1,14,32,5.04609444492254,0.953905555077465,N_Roots
BGM-1024,2017,2,10,26,5.53107752836923,-0.131077528369234,N_Roots
BGM-1024,2017,3,6,50,5.00096040457425,-0.00096040457425417,N_Roots
BGM-1029,2017,1,14,31,6.35523377756644,1.50176622243356,N_Roots
BGM-1029,2017,2,9,31,6.46875540641822,-0.468755406418216,N_Roots
BGM-1029,2017,3,6,25,6.2083564104309,-1.2083564104309,N_Roots
BGM-1029,2017,4,4,3,6.26060394397267,2.07239605602733,N_Roots
BGM-1031,2017,1,14,30,3.42739248750679,1.32260751249321,N_Roots
BGM-1031,2017,2,10,42,3.44820967882111,1.15179032117889,N_Roots
BGM-1031,2017,3,8,2,3.22401868157096,-3.09901868157096,N_Roots
BGM-1031,2017,4,2,1,2.5386496782101,-0.205649678210101,N_Roots
BGM-1034,2017,1,14,29,4.007216758644,1.662783241356,N_Roots
BGM-1034,2017,2,11,21,4.05684062944518,-1.38984062944518,N_Roots
BGM-1034,2017,3,8,16,4.19156263054226,0.808437369457744,N_Roots
BGM-1034,2017,4,3,53,3.55094933014458,-1.05094933014458,N_Roots
BGM-1041,2017,1,14,28,4.56787660027731,-1.76787660027731,N_Roots
BGM-1041,2017,2,11,34,4.59822076691423,1.00177923308577,N_Roots
BGM-1041,2017,3,6,22,4.74419281672948,1.65580718327052,N_Roots
BGM-1041,2017,4,4,37,4.35587249152398,0.0941275084760242,N_Roots
BGM-1064,2017,1,14,26,5.3103476528872,0.0226523471128015,N_Roots
BGM-1064,2017,2,10,7,5.07674121228922,0.753258787710778,N_Roots
BGM-1064,2017,3,5,13,4.89793383684195,1.26906616315805,N_Roots
BGM-1064,2017,4,4,41,4.67478425679539,-1.50478425679539,N_Roots
BGM-1081,2017,1,14,25,5.18759807453587,0.312401925464129,N_Roots
BGM-1081,2017,2,9,28,5.77930982970001,0.890690170299989,N_Roots
BGM-1081,2017,3,6,23,5.58659339104726,-0.586593391047263,N_Roots
BGM-1081,2017,4,3,14,5.471511441718,0.361488558282003,N_Roots
BGM-1103,2017,1,14,24,3.9663387355559,0.863661264444096,N_Roots
BGM-1103,2017,2,11,17,3.9683395449408,-0.4683395449408,N_Roots
BGM-1103,2017,3,5,19,4.0840025553903,0.5859974446097,N_Roots
BGM-1103,2017,4,1,13,3.44278912538545,-1.29978912538545,N_Roots
BGM-1153,2017,1,14,23,4.60784753822125,-0.85784753822125,N_Roots
BGM-1153,2017,2,12,5,4.6483970967436,0.351602903256403,N_Roots
BGM-1153,2017,3,6,5,4.62697786958847,1.37302213041153,N_Roots
BGM-1153,2017,4,2,31,4.26532970602814,-0.43532970602814,N_Roots
BGM-1159,2017,2,9,2,1.73799853050167,-0.404998530501667,N_Roots
BGM-1159,2017,3,7,41,1.79685809172582,-1.19685809172582,N_Roots
BGM-1217,2017,1,14,21,4.53980416771414,-0.206804167714142,N_Roots
BGM-1217,2017,2,11,4,4.68719066298344,0.312809337016561,N_Roots
BGM-1217,2017,3,7,12,4.82461943586778,1.50538056413222,N_Roots
BGM-1217,2017,4,2,13,4.17903500175179,-1.34903500175179,N_Roots
BGM-1243,2017,1,14,20,5.27969627316649,0.720303726833508,N_Roots
BGM-1243,2017,2,10,47,5.05089430036976,-1.38389430036976,N_Roots
BGM-1243,2017,3,7,3,5.23007939979605,0.769920600203952,N_Roots
BGM-1243,2017,4,4,35,5.09628664237406,-0.596286642374059,N_Roots
BGM-1265,2017,1,14,19,5.28321694099085,-0.113216940990851,N_Roots
BGM-1265,2017,2,12,7,5.27962037603711,-0.112620376037107,N_Roots
BGM-1265,2017,3,8,13,5.10081300058984,1.09918699941016,N_Roots
BGM-1267,2017,1,12,23,3.68059160457144,-1.68059160457144,N_Roots
BGM-1267,2017,2,8,41,3.80395730800019,-1.20395730800019,N_Roots
BGM-1267,2017,3,5,49,3.5398881405954,-1.0398881405954,N_Roots
BGM-1269,2017,1,14,18,3.1614891349188,0.338510865081203,N_Roots
BGM-1269,2017,2,10,23,3.42414904252294,0.242850957477057,N_Roots
BGM-1269,2017,3,6,32,3.40207114523112,0.797928854768876,N_Roots
BGM-1269,2017,4,3,34,3.12414247674337,-2.12414247674337,N_Roots
BGM-1272,2017,1,14,17,3.50900025556755,0.323999744432447,N_Roots
BGM-1272,2017,2,8,52,3.57305778845982,-1.37305778845982,N_Roots
BGM-1272,2017,3,7,15,3.63649934965376,1.16350065034624,N_Roots
BGM-1272,2017,4,3,30,3.4557263919778,-0.705726391977804,N_Roots
BGM-1274,2017,1,14,16,3.10503880696374,0.561961193036263,N_Roots
BGM-1274,2017,2,11,38,3.06284159062603,-1.46284159062603,N_Roots
BGM-1274,2017,3,6,41,3.098393008517,-0.931393008516997,N_Roots
BGM-1274,2017,4,4,16,2.83043412075319,0.839565879246811,N_Roots
BGM-1283,2017,1,14,15,1.66996302173344,-1.26996302173344,N_Roots
BGM-1283,2017,2,11,25,1.43748437217154,-0.437484372171536,N_Roots
BGM-1283,2017,3,7,28,1.89425527132877,-0.894255271328765,N_Roots
BGM-1283,2017,4,3,3,1.46831267855817,0.531687321441828,N_Roots
BGM-1288,2017,1,15,7,4.86790355155966,-0.867903551559664,N_Roots
BGM-1288,2017,2,11,32,4.95709179526628,-0.207091795266276,N_Roots
BGM-1288,2017,3,8,7,4.96000595325631,1.53999404674369,N_Roots
BGM-1290,2017,1,14,13,5.45220690972377,0.377793090276231,N_Roots
BGM-1290,2017,2,10,9,5.79724795508317,0.702752044916826,N_Roots
BGM-1290,2017,3,8,5,5.60505067437464,1.72494932562536,N_Roots
BGM-1290,2017,4,3,6,5.75537903757844,-1.75537903757844,N_Roots
BGM-1297,2017,1,14,11,6.84294769001818,0.49005230998182,N_Roots
BGM-1297,2017,2,9,14,7.30513577872678,0.694864221273217,N_Roots
BGM-1297,2017,3,7,23,7.03209141299372,1.63790858700628,N_Roots
BGM-1297,2017,4,3,15,6.70449168868546,-0.70449168868546,N_Roots
BGM-1299,2017,1,14,10,2.87745971583093,-0.210459715830933,N_Roots
BGM-1299,2017,2,11,16,3.02078012643944,1.64621987356056,N_Roots
BGM-1299,2017,3,7,8,3.04210133514252,-2.24210133514252,N_Roots
BGM-1299,2017,4,3,8,2.67539424723533,-0.342394247235327,N_Roots
BGM-1315,2017,1,14,9,3.64749314467434,-0.314493144674342,N_Roots
BGM-1315,2017,2,9,23,3.66320879030215,0.00379120969784807,N_Roots
BGM-1315,2017,3,7,31,3.57387641716446,-1.57387641716446,N_Roots
BGM-1315,2017,4,3,33,3.18232007684409,-0.515320076844092,N_Roots
BGM-1324,2017,1,14,8,4.68716437904427,2.31283562095573,N_Roots
BGM-1324,2017,2,10,31,4.58144015133491,-1.74844015133491,N_Roots
